,company,bigram,count,Words,portion
29,CAPITAL ONE FINANCIAL CORPORATION,make_payment,51,334.4705882,7.213578501
30,"EQUIFAX, INC.",customer_service,29,426.3448276,1.38424821
31,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",customer_service,34,250.7941176,1.959654179
32,Experian Information Solutions Inc.,customer_service,19,297.7894737,1.065619742
33,"BANK OF AMERICA, NATIONAL ASSOCIATION",customer_service,64,485.46875,6.844919786
34,"Navient Solutions, LLC.",customer_service,41,329.7073171,4.055390702
35,WELLS FARGO & COMPANY,customer_service,52,463.3076923,6.103286385
36,SYNCHRONY FINANCIAL,customer_service,31,320.3870968,5.849056604
37,JPMORGAN CHASE & CO.,customer_service,61,438.2622951,7.521578298
38,"CITIBANK, N.A.",customer_service,99,352.3333333,9.032846715
39,CAPITAL ONE FINANCIAL CORPORATION,customer_service,33,313.969697,4.667609618
40,"EQUIFAX, INC.",credit_reporting,204,240.4901961,9.737470167
41,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",credit_reporting,152,267.6513158,8.760806916
42,Experian Information Solutions Inc.,credit_reporting,176,270.4602273,9.871003926
43,"BANK OF AMERICA, NATIONAL ASSOCIATION",credit_reporting,24,345.9583333,2.56684492
44,"Navient Solutions, LLC.",credit_reporting,8,171.375,0.791295747
45,WELLS FARGO & COMPANY,credit_reporting,16,319.625,1.877934272
46,SYNCHRONY FINANCIAL,credit_reporting,15,189.7333333,2.830188679
47,JPMORGAN CHASE & CO.,credit_reporting,12,283,1.479654747
48,"CITIBANK, N.A.",credit_reporting,19,340.0526316,1.733576642
49,CAPITAL ONE FINANCIAL CORPORATION,credit_reporting,20,242.85,2.828854314
50,"EQUIFAX, INC.",call_back,7,446.1428571,0.334128878
51,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",call_back,12,378.4166667,0.691642651
52,Experian Information Solutions Inc.,call_back,15,383,0.841278744
53,"BANK OF AMERICA, NATIONAL ASSOCIATION",call_back,47,525.6170213,5.026737968
54,"Navient Solutions, LLC.",call_back,36,389.6666667,3.560830861
55,WELLS FARGO & COMPANY,call_back,44,567.0909091,5.164319249
56,SYNCHRONY FINANCIAL,call_back,13,334.3846154,2.452830189
57,JPMORGAN CHASE & CO.,call_back,45,556.8,5.548705302
58,"CITIBANK, N.A.",call_back,33,445.6363636,3.010948905
59,CAPITAL ONE FINANCIAL CORPORATION,call_back,32,429.75,4.526166902
60,"EQUIFAX, INC.",phone_call,33,266.969697,1.575178998
61,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",phone_call,22,397.2272727,1.268011527
62,Experian Information Solutions Inc.,phone_call,15,293.1333333,0.841278744
63,"BANK OF AMERICA, NATIONAL ASSOCIATION",phone_call,49,580.0204082,5.240641711
64,"Navient Solutions, LLC.",phone_call,64,348.5625,6.330365974
65,WELLS FARGO & COMPANY,phone_call,47,482.8510638,5.516431925
66,SYNCHRONY FINANCIAL,phone_call,18,353.0555556,3.396226415
67,JPMORGAN CHASE & CO.,phone_call,42,381.6666667,5.178791615
68,"CITIBANK, N.A.",phone_call,59,399.2033898,5.383211679
69,CAPITAL ONE FINANCIAL CORPORATION,phone_call,20,339.75,2.828854314
70,"EQUIFAX, INC.",collection_agency,55,280.0363636,2.625298329
71,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",collection_agency,54,293.8703704,3.112391931
72,Experian Information Solutions Inc.,collection_agency,49,227.0816327,2.748177229
73,"BANK OF AMERICA, NATIONAL ASSOCIATION",collection_agency,9,376.7777778,0.962566845
74,"Navient Solutions, LLC.",collection_agency,17,395.1764706,1.681503462
75,WELLS FARGO & COMPANY,collection_agency,1,204,0.117370892
76,SYNCHRONY FINANCIAL,collection_agency,12,250.5,2.264150943
77,JPMORGAN CHASE & CO.,collection_agency,5,346.4,0.616522811
78,"CITIBANK, N.A.",collection_agency,18,341.9444444,1.642335766
79,CAPITAL ONE FINANCIAL CORPORATION,collection_agency,5,223.6,0.707213579
80,"EQUIFAX, INC.",credit_bureaus,154,234.6818182,7.350835322
81,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",credit_bureaus,124,233.7741935,7.146974063
82,Experian Information Solutions Inc.,credit_bureaus,124,256.7580645,6.954570948
83,"BANK OF AMERICA, NATIONAL ASSOCIATION",credit_bureaus,22,353.5909091,2.352941176
84,"Navient Solutions, LLC.",credit_bureaus,24,303.625,2.37388724
85,WELLS FARGO & COMPANY,credit_bureaus,14,328.7142857,1.643192488
86,SYNCHRONY FINANCIAL,credit_bureaus,23,240.7826087,4.339622642
87,JPMORGAN CHASE & CO.,credit_bureaus,13,322.7692308,1.602959309
88,"CITIBANK, N.A.",credit_bureaus,26,352.4615385,2.372262774
89,CAPITAL ONE FINANCIAL CORPORATION,credit_bureaus,24,417.5833333,3.394625177
90,"EQUIFAX, INC.",credit_score,136,239.5441176,6.491646778
91,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",credit_score,118,195.8220339,6.801152738
92,Experian Information Solutions Inc.,credit_score,101,268.4455446,5.664610208
93,"BANK OF AMERICA, NATIONAL ASSOCIATION",credit_score,31,336.516129,3.315508021
94,"Navient Solutions, LLC.",credit_score,36,271.6944444,3.560830861
95,WELLS FARGO & COMPANY,credit_score,23,267.0434783,2.699530516
96,SYNCHRONY FINANCIAL,credit_score,30,336.1666667,5.660377358
97,JPMORGAN CHASE & CO.,credit_score,29,250.3793103,3.575832306
98,"CITIBANK, N.A.",credit_score,52,313.5769231,4.744525547
99,CAPITAL ONE FINANCIAL CORPORATION,credit_score,21,440.0952381,2.97029703
100,"EQUIFAX, INC.",30_day,97,236.7731959,4.630071599
101,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",30_day,100,237.55,5.763688761
102,Experian Information Solutions Inc.,30_day,96,251.0625,5.38418396
103,"BANK OF AMERICA, NATIONAL ASSOCIATION",30_day,31,349.5806452,3.315508021
104,"Navient Solutions, LLC.",30_day,8,421.5,0.791295747
105,WELLS FARGO & COMPANY,30_day,37,395.1621622,4.342723005
106,SYNCHRONY FINANCIAL,30_day,16,229.75,3.018867925
107,JPMORGAN CHASE & CO.,30_day,28,351.25,3.452527744
108,"CITIBANK, N.A.",30_day,39,325.7692308,3.558394161
109,CAPITAL ONE FINANCIAL CORPORATION,30_day,30,251.3333333,4.243281471
110,"EQUIFAX, INC.",student_loan,45,207.4444444,2.14797136
111,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",student_loan,48,193.75,2.766570605
112,Experian Information Solutions Inc.,student_loan,41,249.3902439,2.299495233
113,"BANK OF AMERICA, NATIONAL ASSOCIATION",student_loan,1,755,0.106951872
114,"Navient Solutions, LLC.",student_loan,273,268.5787546,27.00296736
115,WELLS FARGO & COMPANY,student_loan,18,371.4444444,2.112676056
116,SYNCHRONY FINANCIAL,student_loan,0,,0
117,JPMORGAN CHASE & CO.,student_loan,5,333.6,0.616522811
118,"CITIBANK, N.A.",student_loan,6,385,0.547445255
119,CAPITAL ONE FINANCIAL CORPORATION,student_loan,1,404,0.141442716
120,"EQUIFAX, INC.",report_credit,145,251.1172414,6.92124105
121,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",report_credit,116,249.5775862,6.685878963
122,Experian Information Solutions Inc.,report_credit,107,239.9626168,6.001121705
123,"BANK OF AMERICA, NATIONAL ASSOCIATION",report_credit,21,345.7619048,2.245989305
124,"Navient Solutions, LLC.",report_credit,25,297,2.472799209
125,WELLS FARGO & COMPANY,report_credit,21,304.9047619,2.464788732
126,SYNCHRONY FINANCIAL,report_credit,11,207.7272727,2.075471698
127,JPMORGAN CHASE & CO.,report_credit,29,316.862069,3.575832306
128,"CITIBANK, N.A.",report_credit,26,391.6923077,2.372262774
129,CAPITAL ONE FINANCIAL CORPORATION,report_credit,27,396.4444444,3.818953324
130,"EQUIFAX, INC.",interest_rate,18,459.6666667,0.859188544
131,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",interest_rate,9,317.8888889,0.518731988
132,Experian Information Solutions Inc.,interest_rate,17,302.4705882,0.953449243
133,"BANK OF AMERICA, NATIONAL ASSOCIATION",interest_rate,47,362.106383,5.026737968
134,"Navient Solutions, LLC.",interest_rate,94,301.8297872,9.297725025
135,WELLS FARGO & COMPANY,interest_rate,54,378.962963,6.338028169
136,SYNCHRONY FINANCIAL,interest_rate,16,370.0625,3.018867925
137,JPMORGAN CHASE & CO.,interest_rate,29,384,3.575832306
138,"CITIBANK, N.A.",interest_rate,26,371.5,2.372262774
139,CAPITAL ONE FINANCIAL CORPORATION,interest_rate,22,501.8636364,3.111739745
140,"EQUIFAX, INC.",receive_letter,35,263.1428571,1.670644391
141,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",receive_letter,31,291.9032258,1.786743516
142,Experian Information Solutions Inc.,receive_letter,29,225.6551724,1.626472238
143,"BANK OF AMERICA, NATIONAL ASSOCIATION",receive_letter,60,519.6333333,6.417112299
144,"Navient Solutions, LLC.",receive_letter,14,343.6428571,1.384767557
145,WELLS FARGO & COMPANY,receive_letter,44,423.4545455,5.164319249
146,SYNCHRONY FINANCIAL,receive_letter,16,354.3125,3.018867925
147,JPMORGAN CHASE & CO.,receive_letter,36,378.6944444,4.438964242
148,"CITIBANK, N.A.",receive_letter,48,408.625,4.379562044
149,CAPITAL ONE FINANCIAL CORPORATION,receive_letter,15,395.4666667,2.121640736
150,"EQUIFAX, INC.",loan_modification,3,276.6666667,0.143198091
151,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",loan_modification,3,119.3333333,0.172910663
152,Experian Information Solutions Inc.,loan_modification,3,213.3333333,0.168255749
153,"BANK OF AMERICA, NATIONAL ASSOCIATION",loan_modification,63,473.984127,6.737967914
154,"Navient Solutions, LLC.",loan_modification,3,232,0.296735905
155,WELLS FARGO & COMPANY,loan_modification,71,357.6901408,8.333333333
156,SYNCHRONY FINANCIAL,loan_modification,0,,0
157,JPMORGAN CHASE & CO.,loan_modification,31,431.2258065,3.82244143
158,"CITIBANK, N.A.",loan_modification,19,459.9473684,1.733576642
159,CAPITAL ONE FINANCIAL CORPORATION,loan_modification,1,243,0.141442716
160,"EQUIFAX, INC.",late_payment,52,290.0384615,2.482100239
161,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",late_payment,53,189.6226415,3.054755043
162,Experian Information Solutions Inc.,late_payment,49,300.3673469,2.748177229
163,"BANK OF AMERICA, NATIONAL ASSOCIATION",late_payment,30,357.7666667,3.20855615
164,"Navient Solutions, LLC.",late_payment,33,303.1515152,3.264094955
165,WELLS FARGO & COMPANY,late_payment,39,334.4871795,4.577464789
166,SYNCHRONY FINANCIAL,late_payment,20,300.4,3.773584906
167,JPMORGAN CHASE & CO.,late_payment,20,388.1,2.466091245
168,"CITIBANK, N.A.",late_payment,36,257.9166667,3.284671533
169,CAPITAL ONE FINANCIAL CORPORATION,late_payment,33,319.3939394,4.667609618
170,"EQUIFAX, INC.",late_fee,7,293.2857143,0.334128878
171,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",late_fee,1,247,0.057636888
172,Experian Information Solutions Inc.,late_fee,4,1058.5,0.224340998
173,"BANK OF AMERICA, NATIONAL ASSOCIATION",late_fee,29,304.0344828,3.101604278
174,"Navient Solutions, LLC.",late_fee,31,356.8387097,3.066271019
175,WELLS FARGO & COMPANY,late_fee,29,344.3103448,3.403755869
176,SYNCHRONY FINANCIAL,late_fee,44,270.8181818,8.301886792
177,JPMORGAN CHASE & CO.,late_fee,23,434.2608696,2.836004932
178,"CITIBANK, N.A.",late_fee,62,262.9677419,5.656934307
179,CAPITAL ONE FINANCIAL CORPORATION,late_fee,39,272.0512821,5.516265912
180,"EQUIFAX, INC.",even_though,47,289.4042553,2.243436754
181,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",even_though,20,252.65,1.152737752
182,Experian Information Solutions Inc.,even_though,35,303.9142857,1.962983735
183,"BANK OF AMERICA, NATIONAL ASSOCIATION",even_though,55,368.7272727,5.882352941
184,"Navient Solutions, LLC.",even_though,59,288.2372881,5.835806133
185,WELLS FARGO & COMPANY,even_though,54,397.5,6.338028169
186,SYNCHRONY FINANCIAL,even_though,22,348.9090909,4.150943396
187,JPMORGAN CHASE & CO.,even_though,40,339.3,4.932182491
188,"CITIBANK, N.A.",even_though,49,370.0204082,4.47080292
189,CAPITAL ONE FINANCIAL CORPORATION,even_though,31,428.3225806,4.384724187
190,"EQUIFAX, INC.",would_like,70,164.6714286,3.341288783
191,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",would_like,67,188.6716418,3.86167147
192,Experian Information Solutions Inc.,would_like,60,232.7833333,3.365114975
193,"BANK OF AMERICA, NATIONAL ASSOCIATION",would_like,44,509.8636364,4.705882353
194,"Navient Solutions, LLC.",would_like,31,344.6129032,3.066271019
195,WELLS FARGO & COMPANY,would_like,46,453.0652174,5.399061033
196,SYNCHRONY FINANCIAL,would_like,14,285.8571429,2.641509434
197,JPMORGAN CHASE & CO.,would_like,36,392.4444444,4.438964242
198,"CITIBANK, N.A.",would_like,40,350.475,3.649635036
199,CAPITAL ONE FINANCIAL CORPORATION,would_like,29,327.4482759,4.101838755
